"Source:","C:\Users\malco\Documents\Plotsensor\cupltag\hardware\HT07\HT07.sch"
"Date:","29/09/2021 13:37:43"
"Tool:","Eeschema (5.1.5)-3"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","32"

"Individual Components:"


"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","ALT","COST@100","FIT","MANF","MANF#","SUPPLIER","SUPPLIER#"
"1","1","AE1","Antenna_Loop","device:Antenna_Loop","CUPL_FP:Class_6_NXP_7loop_150u","~","","","NF","","","",""
"2","1","BT30","CR1220","device:Battery_Cell","CUPL_FP:MPD_BC501SM_CR1220","~","","","","MPD","BC501SM","DIGIKEY","BC501SM-TRCT-ND"
"3","1","C1","1N","device:C","CUPL_FP:C_0402_1005Metric","","","","","","","",""
"4","3","C2, C6, C8","100N","device:C","CUPL_FP:C_0402_1005Metric","","","","","YAGEO","CC0402KRX7R7BB104","FARNELL","9402047"
"5","2","C3, C4","22P","device:C","CUPL_FP:C_0402_1005Metric","","","","","AVX","04025A220JAT2A","FARNELL","1327634"
"6","1","C7","10U","device:C","CUPL_FP:C_0603_1608Metric","","","£0.115","","AVX","06036D106MAT2A","FARNELL","1833804"
"7","1","C9","0P","device:C","CUPL_FP:C_0402_1005Metric","","","","NF","AVX","","FARNELL",""
"8","1","C10","18P","device:C","CUPL_FP:C_0402_1005Metric","","","","","MURATA","04025A180FAT2A","FARNELL","2332495"
"9","1","D1","D_Schottky","device:D_Schottky","CUPL_FP:D_SOD-523","~","","","","ROHM","RB520SM-40FHT2R","MOUSER","755-RB520SM-40FHT2R"
"10","1","J30","Conn_02x04_Odd_Even","Connector_Generic:Conn_02x04_Odd_Even","CUPL_FP:PinHeader_2x04_P2.54mm_Vertical","~","","","NF","","","",""
"11","1","JP30","Jumper_2_Open","Jumper:Jumper_2_Open","CUPL_FP:PinHeader_1x02_P2.54mm_Vertical","~","","","NF","","","",""
"12","1","JP31","SolderJumper_2_Bridged_small","Jumper:SolderJumper_2_Bridged","CUPL_FP:SolderJumper-2_Bridged_small","~","","","NF","","","",""
"13","1","LOGO1","Logo_Open_Hardware_Small","Graphic:Logo_Open_Hardware_Small","CUPL_FP:OSHW-Logo_5.7x6mm_SilkScreen","~","","","","","","",""
"14","1","LOGO2","CUPL","CUPL:CUPL","CUPL_FP:logo","","","","NF","","","",""
"15","4","P1, P2, P3, P4","Conn_01x01_MountingPin","Mechanical:MountingHole","CUPL_FP:MountingHole_2.2mm_M2","~","","","NF","","","",""
"16","2","R1, R2","10K","device:R","CUPL_FP:R_0402_1005Metric","","","","","VISHAY","CRCW040210K0FKED","FARNELL","1469669"
"17","1","R3","100K","device:R","CUPL_FP:R_0402_1005Metric","","","","","BOURNS","CR0402-FX-1003GLF","MOUSER","652-CR0402FX-1003GLF"
"18","2","R30, R31","47K","device:R","CUPL_FP:R_0402_1005Metric","","","","","PANASONIC","ERJ2RKF4702X","FARNELL","2302806"
"19","1","SW30","SW_Push","Switch:SW_Push","CUPL_FP:SW_SPST_EVQP2","~","","","","PANASONIC","EVQP2402W","FARNELL","2860944"
"20","1","U1","HDC2022DEPR","CUPL:HDC2021","CUPL_FP:HDC2021","https://www.ti.com/lit/ds/symlink/hdc2021.pdf","","","","TEXAS","HDC2022DEPR","TEXAS","HDC2022DEPR"
"21","1","U2","NT3H2111W0FTTJ","CUPL:NT3H2111","CUPL_FP:TSSOP-8_3x3mm_P0.65mm","https://www.nxp.com/docs/en/data-sheet/NT3H2111_2211.pdf","ALT: NT3H2211W0FTTJ","","","NXP","NT3H2111W0FTTJ","FARNELL","2663150"
"22","1","U3","MSP430FR2155TDBT","CUPL:MSP430FR2155TDBT","CUPL_FP:TSSOP-38_4.4x9.7mm_P0.5mm","http://www.ti.com/lit/ds/symlink/msp430fr2155.pdf","ALT: MSP430FR2355TDBTR","","","TEXAS","MSP430FR2155TDBT","MOUSER","595-MSP430FR2155TDBTR"
"23","1","U4","SIP32431DR3-T1GE3","CUPL:SIP32431DR3-T1GE3","CUPL_FP:SOT-363_SC-70-6","http://www.farnell.com/datasheets/2049671.pdf?_ga=2.11166580.1949353041.1516051135-1652704786.1448397490","","","","VISHAY","SIP32431DR3-T1GE3","FARNELL","2361509"
"24","1","Y1","32K768","CUPL:XTAL_32768HZ_3215","CUPL_FP:Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering","http://www.farnell.com/datasheets/1912628.pdf?_ga=2.198399151.1835204160.1515367470-1652704786.1448397490","","£0.36530","","EPSON","FC-12M 32.7680KD-A3","DIGIKEY","SER3673CT-ND"
